"Issue ID","Issue Category","PR","Issue Title","File Path","Line Number","Issue Suggestion","Commented Time"
"1","P1","#1053","select_py_bindings 引用不存在的 XPU bindings target，--config=xpu 无法构建","arch_config/arch_select.bzl","178","随本 PR 补齐 rtp_llm/models_py/bindings/xpu:xpu_bindings_register（或暂时将 using_xpu 分支指向现有 dummy_register 占位），并在 CI 加一条 --config=xpu 构建冒烟，确保新 config 至少可加载/构建。","2026-05-29T03:07:06Z"
"2","P2","#1053","XPU Python 解释器路径不一致（pip 解析用 conda310，运行时用 venv）","deps/pip.bzl","72","统一 XPU 的解释器：让 pip_xpu_torch 的 python_interpreter 与 .bazelrc 的 PYTHON_BIN_PATH/python_runtime 指向同一个 venv，或显式注释说明 oneAPI venv 与 conda 环境的分工。","2026-05-29T03:07:06Z"
"3","P2","#1053","crosstool wrapper 内联展开 @params 文件存在 ARG_MAX 与引号解析风险","3rdparty/gpus/crosstool/clang/bin/crosstool_wrapper_driver_xpu.tpl","79","优先将 @file 透传给 icx/icpx 而非整体内联；若确需过滤 flag，仅改写并重新生成一个 @params 文件，并用 shlex.split 正确处理引号/转义及递归 @file 展开。","2026-05-29T03:07:06Z"
"4","P2","#1053","requirements_lock_xpu.txt 是 pip freeze 而非 compile 锁，与 src 不一致","deps/requirements_lock_xpu.txt","1","用 bazel run //deps:requirements_xpu.update（pip-compile）从 requirements_xpu.txt 重新生成带 hash、与 src 对应的锁文件，替换当前 pip freeze 产物。","2026-05-29T03:07:06Z"
"5","P2","#1053","xpu_configure 读取 TF_NEED_XPU 但未在 environ 中声明，config 切换时可能复用过期 dummy 仓库","3rdparty/gpus/xpu_configure.bzl","308","将 ""TF_NEED_XPU"" 加入 environ 列表，使其参与 repo rule 缓存键并能被正确失效。","2026-05-29T03:07:06Z"
"6","P3","#1053","crosstool wrapper 将 -mcpu= 一律替换为 -march=native，破坏可复现性","3rdparty/gpus/crosstool/clang/bin/crosstool_wrapper_driver_xpu.tpl","72","将 -mcpu=<x> 映射为确定性的等价 icx -march=<x>，或直接丢弃/透传由 toolchain 决定，避免无条件 native；如确需 native 请加注释说明约束。","2026-05-29T03:07:06Z"
"7","P3","#1053","requirements_xpu.txt 注释中的安装路径有误","deps/requirements_xpu.txt","7","将注释中的路径更正为 deps/requirements_xpu.txt。","2026-05-29T03:07:06Z"
"8","P3","#1053","libsycl.so 缺失时 sycl_runtime srcs 变成空字符串非法 label","3rdparty/gpus/xpu/BUILD.tpl","25","在 .tpl 中对空值做条件渲染（srcs=[] 而非 [""""]），或在 xpu_configure 中缺库时直接 auto_configure_fail 给出明确错误。","2026-05-29T03:07:06Z"
"9","P2","#1053","crosstool wrapper 生成的临时 params 文件从不清理","3rdparty/gpus/crosstool/clang/bin/crosstool_wrapper_driver_xpu.tpl","166","在 subprocess.call 返回后用 try/finally + os.unlink 删除本次创建的所有临时 params 文件，或写入 bazel action 的输出目录由 Bazel 回收，而非全局 /tmp。","2026-05-29T06:09:35Z"
"10","P2","#1053","xpu_sycl_compile feature 未启用，SYCL 编译 flag 不会生效","3rdparty/gpus/crosstool/xpu_cc_toolchain_config.bzl.tpl","648","给 xpu_sycl_compile_feature 加 enabled=True 与 xpu_link_flags_feature 保持一致，或由目标显式 implies/features；若刻意延后激活，请加注释说明将由哪个后续 PR 打开，避免 SYCL_TARGET 配置被静默忽略。","2026-05-29T06:09:35Z"
"11","P2","#1053","crosstool wrapper 用 shlex.split 解析 Bazel params 文件可能损坏参数","3rdparty/gpus/crosstool/clang/bin/crosstool_wrapper_driver_xpu.tpl","147","确认该 toolchain 的 param_file_format；若为 multiline/literal，应按行原样读取（line.rstrip('\n')）并原样写回，不要用 shlex.split/quote，仅对整行做 flag 过滤匹配。","2026-05-29T06:09:35Z"
"12","P2","#1053","requirements_lock_xpu.txt 由 Python 3.12 生成，但运行时为 Python 3.10","deps/requirements_lock_xpu.txt","2","确认 XPU 容器 /opt/venv 的 Python 版本；若目标运行时为 3.10，请用与构建一致的 3.10 解释器重新运行 pip-compile 生成锁文件，确保 marker 求值与目标运行时匹配。","2026-05-29T06:09:35Z"
"13","P2","#1053","crosstool wrapper 的纯逻辑过滤函数缺少单元测试","3rdparty/gpus/crosstool/clang/bin/crosstool_wrapper_driver_xpu.tpl","122","为 _filter_flags / _process_params_files 等纯函数补充可独立运行的 py 单测，覆盖 -mcpu 映射、前缀丢弃、含引号/空格参数的 @params 往返等边界。","2026-05-29T06:09:35Z"
"14","P3","#1053","XPU 构建硬编码 /opt/venv/bin/python3，与全仓 /opt/conda310 约定分叉","deps/pip.bzl","27","在 .bazelrc xpu 段加注释说明该路径来自哪个 XPU dev 镜像，并尽量用 env 变量（PYTHON_BIN_PATH/ONEAPI_ROOT，xpu_configure 已支持）驱动，减少跨文件硬编码重复。","2026-05-29T06:09:35Z"
"15","P1","#1053","select_py_bindings 引用不存在的 xpu_bindings_register target","arch_config/arch_select.bzl","178","在第 4 个 PR 合入前，将 XPU 分支暂时指向 `@rtp_llm//rtp_llm/models_py/bindings:dummy_register`（与 conditions:default 一致），或在 PR description 中明确标注 4 个 PR 必须按序合入，中间状态 --config=xpu 不可用。","2026-06-04T08:46:51Z"
"16","P2","#1053","cuda_register() 无 XPU 分支，XPU 构建会链接 CUDA ops","arch_config/arch_select.bzl","149","为 `@rtp_llm//:using_xpu` 添加分支，指向 dummy 或 XPU 专用的 register target（可复用 `@rtp_llm//rtp_llm:empty_target`）。","2026-06-04T08:46:51Z"
"17","P2","#1053","全局 -Wno-error 禁用所有编译器警告升级",".bazelrc","228","移除全局 -Wno-error，仅保留已有的 13 条 -Wno-xxx 定向抑制。若仍有编译失败，逐条添加 -Wno-error=specific-warning 而非全局禁用。初始 bringup 阶段可保留但加 TODO 注释标注后续需收紧。","2026-06-04T08:46:51Z"
"18","P2","#1053","requirements_lock_xpu.txt 基于 Python 3.12 生成，项目其他平台使用 3.10","deps/pip.bzl","72","在 pip.bzl 的 pip_xpu_torch pip_parse 附近添加注释说明 XPU 平台需要 Python 3.12（因为 PyTorch XPU wheels 仅支持 3.12+）。若 XPU 应与项目统一使用 3.10，需用 3.10 重新 pip-compile。","2026-06-04T08:46:51Z"
"19","P3","#1053","BUILD.pytorch 中 XPU select 标签引用风格与 CUDA/ROCm 不一致","BUILD.pytorch","54","改为 `""@//:using_xpu""` 与 CUDA/ROCm 保持一致。","2026-06-04T08:46:51Z"
"20","P3","#1053","xpu_cc_toolchain_config.bzl.tpl 包含约 1000 行 Windows/macOS 无用代码","3rdparty/gpus/crosstool/xpu_cc_toolchain_config.bzl.tpl","1","移除 Windows (x64_windows) 和 macOS (darwin) 分支代码，仅保留 Linux (cpu=local) 路径。可将文件缩减到约 500 行。","2026-06-04T08:46:51Z"
"21","P3","#1053","安全加固 flag 全部注释掉（TBD 状态）","3rdparty/gpus/crosstool/xpu_cc_toolchain_config.bzl.tpl","463","在后续 PR 中逐步验证并启用 hardening flag。icx/icpx 支持 -D_FORTIFY_SOURCE=1、-fstack-protector、-Wl,-z,relro,-z,now。建议添加 TODO 注释标注跟踪 issue。","2026-06-04T08:46:51Z"
"22","P1","#1053","pip_parse 使用 /opt/venv/bin/python3 可能阻断非 XPU 环境构建","deps/pip.bzl","74","将 python_interpreter 改为 /opt/conda310/bin/python3（与其他平台一致），或验证 rules_python 的 pip_parse 在解释器路径不存在时是否可以仅凭 requirements_lock 文件完成 repo 生成而不实际调用解释器。若 XPU 环境必须用 3.12，考虑在 XPU 容器中也安装 /opt/conda310/bin/python3 作为 pip_parse 入口。","2026-06-05T09:48:09Z"
"23","P1","#1053","toolchain config 模板携带约 1000 行不可达的 Windows/MSVC/Darwin 代码","3rdparty/gpus/crosstool/xpu_cc_toolchain_config.bzl.tpl","72","删除所有 x64_windows 和 darwin 分支代码（action_configs、msvc_env_feature、nologo_feature、8 个 msvc_* attrs 等），仅保留 cpu=""local"" (Linux) 路径。可在后续 PR 中清理，但应在 merge 前或紧随其后完成。","2026-06-05T09:48:09Z"
"24","P2","#1053","安全加固 (hardening) 被完整注释禁用，无 issue 跟踪","3rdparty/gpus/crosstool/xpu_cc_toolchain_config.bzl.tpl","431","（1）至少先启用 -fstack-protector-strong 和 -D_FORTIFY_SOURCE=1（icx 完全支持）。（2）链接时 -Wl,-z,relro,-z,now 也应尽快验证启用。（3）创建 GitHub Issue 跟踪 hardening 恢复，确保不永久搁置。","2026-06-05T09:48:09Z"
"25","P2","#1053","pip_parse 使用 Python 3.12 与项目全局 Python 3.10 运行时需确认一致性","deps/pip.bzl","72","在 deps/pip.bzl 注释和 .bazelrc xpu 配置中明确标注 XPU 环境预期 Python 版本为 3.12。确保 XPU dev image 中 /opt/venv/bin/python3 确实为 3.12，且 xpu_configure 中的 py_runtime 指向 3.12 interpreter。","2026-06-05T09:48:09Z"
"26","P2","#1053","sycl_runtime cc_library 使用 linkstatic=1 链接 .so 语义不当","3rdparty/gpus/xpu/BUILD.tpl","22","使用 cc_import(name=""sycl_runtime"", shared_library=""..."") 代替 cc_library+linkstatic=1，这是 Bazel 推荐的预编译共享库声明方式。或去掉 linkstatic 并将 .so 仅放在 srcs 中（删除 data 中的冗余）。","2026-06-05T09:48:09Z"
